group,ref_name,ref_temp,ref_rs,ref_pct_chg,local_name,local_temp,local_rs,local_right,temp_diff,rs_diff,temp_match
硬科技,半导体,温,67,8.6,半导体,沸,98,1,2,+31,OFF2
硬科技,电子化学品Ⅱ,温,99,6.6,电子化学品Ⅱ,沸,97,1,2,-2,OFF2
硬科技,其他电子Ⅱ,平,90,4.5,其他电子Ⅱ,沸,93,1,3,+3,OFF3
硬科技,通信设备,平,83,6.0,通信设备,热,96,1,2,+13,OFF2
硬科技,消费电子,平,80,6.6,消费电子,平,92,0,0,+12,OK
生命健康,化学制药,平,93,1.0,化学制药,寒,60,1,2,-33,OFF2
生命健康,医药商业,平,75,-0.8,医药商业,寒,17,1,2,-58,OFF2
生命健康,中药,平,73,-0.3,中药Ⅱ,寒,40,1,2,-33,OFF2
生命健康,生物制品,平,70,0.5,生物制品,寒,37,1,2,-33,OFF2
生命健康,医疗器械,凉,55,0.4,医疗器械,寒,47,1,1,-8,OFF1
数字科技,计算机设备,平,96,3.1,计算机设备,温,84,0,1,-12,OFF1
数字科技,软件开发,凉,59,2.3,软件开发,寒,51,1,1,-8,OFF1
农业基础,养殖业,平,76,0.1,养殖业,寒,32,1,2,-44,OFF2
农业基础,饲料,平,62,1.1,饲料,寒,21,1,2,-41,OFF2
工业装备,通用设备,温,86,2.6,通用设备,热,91,1,1,+5,OFF1
工业装备,自动化设备,平,84,4.2,自动化设备,热,94,1,2,+10,OFF2
工业装备,专用设备,平,78,2.6,专用设备,凉,87,0,1,+9,OFF1
工业装备,电机Ⅱ,凉,37,0.5,电机Ⅱ,寒,49,1,1,+12,OFF1
工业装备,汽车零部件,凉,34,-0.0,汽车零部件,寒,69,1,1,+35,OFF1
国防安全,军工电子Ⅱ,平,82,3.0,军工电子Ⅱ,寒,81,1,2,-1,OFF2
工业配套,光学光电子,平,89,4.8,光学光电子,热,93,1,2,+4,OFF2
工业配套,环保设备Ⅱ,寒,46,0.4,环保设备Ⅱ,寒,82,1,0,+36,OK
工业配套,电网设备,寒,21,0.0,电网设备,寒,56,1,0,+35,OK
工业配套,风电设备,寒,17,0.1,风电设备,寒,28,1,0,+11,OK
数字娱乐,游戏,平,79,0.5,游戏Ⅱ,寒,36,1,2,-43,OFF2
数字娱乐,互联网电商,凉,38,0.5,互联网电商,寒,52,1,1,+14,OFF1
民生消费,通信服务,凉,39,0.2,通信服务,寒,66,1,1,+27,OFF1
民生消费,食品加工,凉,30,-1.6,食品加工,寒,33,1,1,+3,OFF1
民生消费,电力,凉,24,-0.0,电力,寒,72,1,1,+48,OFF1
民生消费,白酒,凉,8,-1.4,白酒Ⅱ,寒,14,1,1,+6,OFF1
新能源装备,电池,寒,49,1.6,电池,寒,76,1,0,+27,OK
新能源装备,光伏设备Ⅱ,寒,35,11,光伏设备,寒,55,1,0,+20,OK
农化加工,化学制品,平,61,0.4,化学制品,凉,74,1,1,+13,OFF1
农化加工,化学原料,寒,27,0.0,化学原料,寒,54,1,0,+27,OK
农化加工,农产品加工,寒,13,-1.4,农产品加工,寒,20,1,0,+7,OK
日用消费品,饮料乳品,平,65,-0.7,饮料乳品,寒,59,1,2,-6,OFF2
日用消费品,休闲食品,凉,22,-1.9,休闲食品,寒,25,1,1,+3,OFF1
日用消费品,包装印刷,寒,16,0.9,包装印刷,寒,52,1,0,+36,OK
日用消费品,家居用品,寒,10,-0.5,家居用品,寒,34,1,0,+24,OK
城市基建,工程机械,寒,42,0.6,工程机械,寒,65,1,0,+23,OK
城市基建,专业服务,寒,41,0.3,专业服务,寒,78,1,0,+37,OK
城市基建,轨交设备Ⅱ,寒,31,0.4,轨交设备Ⅱ,寒,58,1,0,+27,OK
城市基建,贸易,寒,20,-0.6,贸易Ⅱ,寒,32,1,0,+12,OK
城市基建,装修建材Ⅱ,寒,1,-0.2,装修建材,寒,28,1,0,+27,OK
城市基建,种植业,寒,0,-0.2,种植业,寒,6,1,0,+6,OK
