group,name,ref_temperature,ref_rs,_sid,temperature,temperature_score,rs_score,lv_diff,rs_diff
A股-医药健康,医疗服务,热,100,SW_801156,沸,100.0,,1,
A股-医药健康,医药商业,平,98,SW_801154,平,2.299691124440634,,0,
A股-医药健康,中药,温,92,SW_801155,平,-2.8595235611270167,,1,
A股-医药健康,化学制药,温,90,SW_801151,平,11.889114048496793,,1,
A股-医药健康,生物制品,平,88,SW_801152,平,11.882095189897843,,0,
A股-医药健康,医疗器械,平,84,SW_801153,平,-16.47686346918686,,0,
A股-综合与商业服务,工程咨询与专业服务,平,94,SW_801726,平,45.60183382725109,,0,
A股-综合与商业服务,综合企业,平,74,SW_801231,平,-3.125141152103343,,0,
A股-综合与商业服务,社会服务,平,70,SW_801210,平,-39.19559476807202,,0,
A股-能源与公用事业,煤炭,平,80,SW_801950,平,19.896204725444854,,0,
A股-能源与公用事业,油气能源,平,78,SW_801960,平,-14.430058428193679,,0,
A股-能源与公用事业,电力公用,平,38,SW_801160,平,-25.911943622505717,,0,
A股-互联网与传媒,游戏传媒,平,76,SW_801760,平,-29.27483236958183,,0,
A股-互联网与传媒,AI与数据服务,平,72,SW_801103,平,-38.98853070466906,,0,
A股-互联网与传媒,通信运营服务,平,68,SW_801223,平,-39.83554059902882,,0,
A股-互联网与传媒,软件与IT服务,平,58,SW_801104,平,-30.76792633564308,,0,
A股-互联网与传媒,互联网电商,平,54,SW_801206,平,-39.10190309061194,,0,
A股-消费,白酒,平,96,SW_801125,平,-8.756759755937972,,0,
A股-消费,食品饮料,平,86,SW_801120,平,-10.613836580190169,,0,
A股-消费,服装纺织,平,82,SW_801130,平,-23.035565524584236,,0,
A股-消费,珠宝饰品,平,66,SW_801133,平,-23.898634112208477,,0,
A股-消费,美容护理,平,64,SW_801980,平,-31.756766300221052,,0,
A股-消费,饲料动保,平,60,SW_801014,平,-39.37243468067128,,0,
A股-消费,家电家居,平,52,SW_801110,平,-27.309580145908033,,0,
A股-消费,商贸零售,平,32,SW_801200,平,-42.416406563079846,,0,
A股-消费,旅游酒店,平,20,SW_801993,平,-39.13973270727584,,0,
A股-消费,农牧养殖,平,10,SW_801017,平,-13.38201528430558,,0,
A股-金融,银行,平,54,SW_801780,平,-3.745514008962667,,0,
A股-金融,证券保险,平,26,SW_801790,平,-26.41487529739661,,0,
A股-材料与资源,金属钢铁,平,68,SW_801050,平,-9.110618119488882,,0,
A股-材料与资源,化工材料,平,48,SW_801030,平,-27.71241514937521,,0,
A股-材料与资源,基础耗材与包装,平,12,SW_801140,平,-44.02919071115144,,0,
A股-地产基建,房地产开发,平,62,SW_801181,平,-30.966809731750185,,0,
A股-地产基建,建筑建材,平,14,SW_801710,平,-20.817920418272855,,0,
A股-地产基建,基建工程,平,2,SW_801723,平,-59.615444501835896,,0,
A股-工业制造与交通,交通运输与物流,平,50,SW_801170,平,-38.79964051688136,,0,
A股-工业制造与交通,电气电网设备,平,44,SW_801738,平,-27.5821681195966,,0,
A股-工业制造与交通,环保设备与服务,平,46,SW_801970,平,-26.13201630964669,,0,
A股-工业制造与交通,动力电池,平,42,SW_801737,平,-14.256438159156701,,0,
A股-工业制造与交通,汽车零部件,平,40,SW_801093,平,-47.59581666684213,,0,
A股-工业制造与交通,自动化与机器人,平,30,SW_801078,平,-8.808433963417304,,0,
A股-工业制造与交通,机械设备,平,28,SW_801890,平,-12.76343630299589,,0,
A股-工业制造与交通,光伏风电设备,平,16,SW_801735,凉,-55.40809701995883,,1,
A股-工业制造与交通,轨交军工装备,平,4,SW_801740,凉,-51.29943206488644,,1,
A股-工业制造与交通,汽车整车,平,0,SW_801095,平,-61.77105189140397,,0,
A股-科技硬件,电子元件材料,平,56,SW_801083,平,24.305032577023418,,0,
A股-科技硬件,消费电子,平,28,SW_801085,平,-14.099620665690281,,0,
A股-科技硬件,计算机设备,平,22,SW_801101,平,-22.331831279629416,,0,
A股-科技硬件,通信设备,平,18,SW_801102,平,-3.1444133666926097,,0,
A股-科技硬件,半导体,平,8,SW_801081,平,4.183126523689936,,0,
A股-科技硬件,光学电子,平,6,SW_801084,平,-17.5538899671609,,0,
